graph6 string,levelable,minimized solution
H?BFFbx,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0]"
H?BFFbl,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFFb\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFFa|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFFbj,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0]"
H?BFFbZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0]"
H?BFFaz,F,NA
H?BFFbN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFFan,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFFa^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFF_~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFFb},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFFb|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFFbz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFFbn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFFb^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFFa~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFFb~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 6.0]"
H?BFEro,F,NA
H?BFErc,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFEra,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 2.0]"
H?BFErw,F,NA
H?BFErs,F,NA
H?BFEr[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFEq{,T,"[2.0, 4.0, 2.0, 2.0, 2.0, 5.0, 2.0, 3.0, 5.0]"
H?BFErq,F,NA
H?BFErY,F,NA
H?BFEqy,F,NA
H?BFEre,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFErU,F,NA
H?BFEqu,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFEq],T,"[2.0, 3.0, 2.0, 2.0, 2.0, 4.0, 2.0, 3.0, 4.0]"
H?BFEo},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFErX,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFErT,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFErF,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFEr{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFEry,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 2.0]"
H?BFEru,F,NA
H?BFEr],T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFEq},T,"[2.0, 3.0, 2.0, 2.0, 2.0, 4.0, 2.0, 3.0, 5.0]"
H?BFErx,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFErt,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFEr\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFEq|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFErr,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFErZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFEqz,F,NA
H?BFErf,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFErV,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFEqv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFEq^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFEo~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFEr},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFEr|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFErz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFErv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFEr^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFEq~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFEr~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 6.0]"
H?BFDpw,F,NA
H?BFDps,F,NA
H?BFDp[,F,NA
H?BFDrw,F,NA
H?BFDrs,F,NA
H?BFDr[,F,NA
H?BFDq{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFDp{,F,NA
H?BFDrq,F,NA
H?BFDrY,F,NA
H?BFDqy,F,NA
H?BFDpy,F,NA
H?BFDre,F,NA
H?BFDrU,F,NA
H?BFDqu,F,NA
H?BFDpu,F,NA
H?BFDq],T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0]"
H?BFDp],F,NA
H?BFDo},T,"[3.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 3.0, 4.0]"
H?BFDrp,F,NA
H?BFDrX,F,NA
H?BFDqx,F,NA
H?BFDpx,F,NA
H?BFDrd,F,NA
H?BFDrT,F,NA
H?BFDqt,F,NA
H?BFDpt,F,NA
H?BFDq\,F,NA
H?BFDp\,F,NA
H?BFDrb,F,NA
H?BFDrR,F,NA
H?BFDqZ,F,NA
H?BFDpZ,F,NA
H?BFDrF,F,NA
H?BFDqf,F,NA
H?BFDpf,F,NA
H?BFDqV,F,NA
H?BFDpV,F,NA
H?BFDo^,F,NA
H?BFDr{,F,NA
H?BFDry,F,NA
H?BFDru,F,NA
H?BFDr],F,NA
H?BFDq},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFDp},F,NA
H?BFDrx,F,NA
H?BFDrt,F,NA
H?BFDr\,F,NA
H?BFDq|,F,NA
H?BFDp|,F,NA
H?BFDrr,F,NA
H?BFDrZ,F,NA
H?BFDqz,F,NA
H?BFDpz,F,NA
H?BFDrf,F,NA
H?BFDrV,F,NA
H?BFDqv,F,NA
H?BFDpv,F,NA
H?BFDq^,F,NA
H?BFDp^,F,NA
H?BFDo~,F,NA
H?BFDr},F,NA
H?BFDr|,F,NA
H?BFDrz,F,NA
H?BFDrv,F,NA
H?BFDr^,F,NA
H?BFDq~,F,NA
H?BFDp~,F,NA
H?BFDr~,F,NA
H?BFFJw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFFJ[,F,NA
H?BFFI{,F,NA
H?BFFJY,F,NA
H?BFFIy,F,NA
H?BFFI],T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFG},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFJX,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFFI\,F,NA
H?BFFIZ,F,NA
H?BFFG^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFFJ{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFFJy,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFJ],T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 5.0]"
H?BFFI},F,NA
H?BFFJx,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFFJ\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFFI|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFFJZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFFIz,F,NA
H?BFFI^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFG~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFJ},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFJ|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFFJz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFJ^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFFI~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFFJ~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 6.0]"
H?BFEjg,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFEjI,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFEgm,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFEg],F,NA
H?BFEjw,F,NA
H?BFEjk,F,NA
H?BFEj[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFEi{,F,NA
H?BFEji,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFEjY,F,NA
H?BFEiy,F,NA
H?BFEjM,F,NA
H?BFEim,F,NA
H?BFEi],F,NA
H?BFEg},F,NA
H?BFEjL,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFEj{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFEjy,F,NA
H?BFEjm,F,NA
H?BFEj],T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFEi},F,NA
H?BFEjx,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFEjl,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFEj\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFEi|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFEjj,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFEjZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFEiz,F,NA
H?BFEjN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFEin,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFEi^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFEg~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFEj},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFEj|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFEjz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFEjn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFEj^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFEi~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFEj~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 6.0]"
H?BFDjw,F,NA
H?BFDjk,F,NA
H?BFDj[,F,NA
H?BFDi{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFDh{,F,NA
H?BFDji,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFDjY,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFDiy,F,NA
H?BFDhy,F,NA
H?BFDjM,F,NA
H?BFDim,F,NA
H?BFDhm,F,NA
H?BFDi],F,NA
H?BFDh],F,NA
H?BFDg},F,NA
H?BFDjh,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFDjX,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFDjL,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDil,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDhl,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDi\,F,NA
H?BFDh\,F,NA
H?BFDjJ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFDiZ,F,NA
H?BFDhZ,F,NA
H?BFDiN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFDhN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFDg^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFDj{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFDjy,F,NA
H?BFDjm,F,NA
H?BFDj],F,NA
H?BFDi},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFDh},F,NA
H?BFDjx,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFDjl,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDj\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDi|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDh|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDjj,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFDjZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFDiz,F,NA
H?BFDhz,F,NA
H?BFDjN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDin,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDhn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDi^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDh^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDg~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDj},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFDj|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDjz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDjn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDj^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDi~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDh~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDj~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 6.0]"
H?BFCxe,F,NA
H?BFCxU,F,NA
H?BFCwu,F,NA
H?BFCw],F,NA
H?BFCzw,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 4.0, 2.0, 4.0, 3.0]"
H?BFCzs,F,NA
H?BFCz[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFCy{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFCx{,F,NA
H?BFCzq,F,NA
H?BFCzY,F,NA
H?BFCyy,F,NA
H?BFCxy,F,NA
H?BFCze,F,NA
H?BFCzU,F,NA
H?BFCyu,F,NA
H?BFCxu,F,NA
H?BFCy],F,NA
H?BFCx],F,NA
H?BFCw},F,NA
H?BFCzX,F,NA
H?BFCzT,F,NA
H?BFCy\,F,NA
H?BFCx\,F,NA
H?BFCzR,F,NA
H?BFCzF,F,NA
H?BFCz{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFCzy,F,NA
H?BFCzu,F,NA
H?BFCz],F,NA
H?BFCy},F,NA
H?BFCx},F,NA
H?BFCzx,F,NA
H?BFCzt,F,NA
H?BFCz\,F,NA
H?BFCy|,F,NA
H?BFCx|,F,NA
H?BFCzr,F,NA
H?BFCzZ,F,NA
H?BFCyz,F,NA
H?BFCxz,F,NA
H?BFCzf,F,NA
H?BFCzV,F,NA
H?BFCyv,F,NA
H?BFCxv,F,NA
H?BFCy^,F,NA
H?BFCx^,F,NA
H?BFCw~,F,NA
H?BFCz},F,NA
H?BFCz|,F,NA
H?BFCzz,F,NA
H?BFCzv,F,NA
H?BFCz^,F,NA
H?BFCy~,F,NA
H?BFCx~,F,NA
H?BFCz~,F,NA
H?BF@zo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BF@zW,T,"[3.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 4.0, 3.0]"
H?BF@yw,T,"[3.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 4.0, 3.0]"
H?BF@za,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 3.0]"
H?BF@zQ,T,"[2.0, 2.0, 3.0, 3.0, 2.0, 3.0, 3.0, 6.0, 3.0]"
H?BF@yU,F,NA
H?BF@w],T,"[2.0, 2.0, 5.0, 2.0, 2.0, 3.0, 5.0, 5.0, 3.0]"
H?BF@zw,T,"[3.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 4.0, 3.0]"
H?BF@zs,F,NA
H?BF@z[,F,NA
H?BF@y{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BF@zq,F,NA
H?BF@zY,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 3.0]"
H?BF@yy,F,NA
H?BF@ze,F,NA
H?BF@zU,F,NA
H?BF@yu,F,NA
H?BF@y],F,NA
H?BF@w},T,"[2.0, 2.0, 4.0, 2.0, 2.0, 3.0, 4.0, 5.0, 2.0]"
H?BF@zp,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 2.0]"
H?BF@zX,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 3.0]"
H?BF@yx,F,NA
H?BF@zd,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 3.0]"
H?BF@zT,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 4.0]"
H?BF@yt,F,NA
H?BF@y\,F,NA
H?BF@w|,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 5.0]"
H?BF@zb,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 3.0]"
H?BF@zR,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 2.0]"
H?BF@yr,F,NA
H?BF@yZ,F,NA
H?BF@zF,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 3.0]"
H?BF@yf,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 4.0]"
H?BF@yV,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 3.0]"
H?BF@w^,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 3.0]"
H?BF@z{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BF@zy,F,NA
H?BF@zu,F,NA
H?BF@z],F,NA
H?BF@y},T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 2.0]"
H?BF@zx,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 3.0]"
H?BF@zt,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 4.0]"
H?BF@z\,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 5.0]"
H?BF@y|,F,NA
H?BF@zr,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 4.0]"
H?BF@zZ,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 3.0]"
H?BF@yz,F,NA
H?BF@zf,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 5.0]"
H?BF@zV,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 4.0]"
H?BF@yv,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 5.0]"
H?BF@y^,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 4.0]"
H?BF@w~,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 5.0]"
H?BF@z},T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 3.0]"
H?BF@z|,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 5.0]"
H?BF@zz,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 5.0]"
H?BF@zv,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 6.0]"
H?BF@z^,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 5.0]"
H?BF@y~,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 6.0]"
H?BF@z~,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 7.0]"
H?BFFFw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0]"
H?BFFF[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFFE{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFFFY,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0]"
H?BFFE],F,NA
H?BFFF{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFFFy,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0]"
H?BFFF],T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFFE},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFFFZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0]"
H?BFFEz,F,NA
H?BFFE^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFFC~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFFF},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFFFz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFFF^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFFE~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFFF~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 6.0]"
H?BFEfw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0]"
H?BFEfk,F,NA
H?BFEe{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFEfi,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0]"
H?BFEfM,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
